,bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,uuid,created_date,scanned_date,finish_date,modify_date,pointsawarded_date,purchased_date,barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReviewReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned_y,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId
0,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,5.0,FINISHED,26.00,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000575,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:36.000000000,2021-01-03 15:25:31.000000000,2021-01-03 00:00:00.000000000,4011,ITEM NOT FOUND,26.00,26.00,False,1,True,5.0,4011,True,26.00,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,2.0,FINISHED,11.00,5ff1e194b6a9d73a3a9f1052,5ff1e1bb0a720f052300056b,2021-01-03 15:24:43.000000000,2021-01-03 15:24:43.000000000,2021-01-03 15:24:43.000000000,2021-01-03 15:24:48.000000000,2021-01-03 15:24:43.000000000,2021-01-02 15:24:43.000000000,4011,ITEM NOT FOUND,1,1,NULL,1,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,5.0,All-receipts receipt bonus,5,1.0,REJECTED,10.00,5ff1e1f1cfcf6c399c274b0b,5ff1e1f10a720f052300057a,2021-01-03 15:25:37.000000000,2021-01-03 15:25:37.000000000,NULL,2021-01-03 15:25:42.000000000,NULL,2021-01-03 00:00:00.000000000,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,True,2,True,1.0,028400642255,True,10.00,1.0,USER_FLAGGED,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,28.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada100056f,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:39.000000000,2021-01-03 15:25:34.000000000,2021-01-03 00:00:00.000000000,NULL,NULL,NULL,NULL,False,1,True,NULL,4011,True,26.00,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d20a7214ada1000561,2021-01-03 15:25:06.000000000,2021-01-03 15:25:06.000000000,2021-01-03 15:25:11.000000000,2021-01-03 15:25:11.000000000,2021-01-03 15:25:06.000000000,2021-01-02 15:25:06.000000000,4011,ITEM NOT FOUND,28.00,28.00,False,1,True,4.0,4011,True,28.00,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,5ff1e1e40a7214ada1000566,2021-01-03 15:25:24.000000000,2021-01-03 15:25:24.000000000,2021-01-03 15:25:25.000000000,2021-01-03 15:25:30.000000000,2021-01-03 15:25:25.000000000,2021-01-02 15:25:24.000000000,4011,ITEM NOT FOUND,1,1,NULL,1,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,5ff1e1cd0a720f052300056f,2021-01-03 15:25:01.000000000,2021-01-03 15:25:01.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:25:01.000000000,1234,NULL,2.56,2.56,True,2,True,3.0,1234,True,2.56,3.0,USER_FLAGGED,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,1.0,FINISHED,10.00,5ff1e194b6a9d73a3a9f1052,5ff1e1a40a720f0523000569,2021-01-03 15:24:20.000000000,2021-01-03 15:24:20.000000000,2021-01-03 15:24:21.000000000,2021-01-03 15:24:21.000000000,2021-01-03 15:24:21.000000000,2020-12-27 00:00:00.000000000,4011,ITEM NOT FOUND,3.25,3.25,False,1,True,1.0,4011,NULL,NULL,NULL,NULL,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,NULL,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,20.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ed0a7214ada100056e,2021-01-03 15:25:33.000000000,2021-01-03 15:25:33.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:38.000000000,2021-01-03 15:25:34.000000000,2021-01-03 00:00:00.000000000,NULL,MSSN TORTLLA,2.23,2.23,NULL,1009,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MISSION,TACO BELL TACO SHELLS,2.23,MSSN TORTLLA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250.0,3.0,FINISHED,20.00,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a7214ada100056b,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:36.000000000,2021-01-03 15:25:31.000000000,2021-01-03 00:00:00.000000000,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,10.00,NULL,0,NULL,1.0,NULL,NULL,NULL,NULL,NULL,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,NULL,NULL,NULL,BRAND,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
